"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","21","21","1","424.449951","0","21"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","33","33","1","506.771637","0","33"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","30","56","3","95.497665","0","34"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","18","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","27","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","0","24","1","0.000000","0","0"
"/Water/Materials/WaterInfo/DrawWaterInfo.DrawWaterInfo","0","0","12","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","12","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","17","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","12","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","0","29","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","0","2","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","24","1","0.000000","0","0"
"/Game/Assets/Models/train/standardSurface1.standardSurface1","0","0","21","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","35","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultRIbbonMaterial.DefaultRibbonMaterial","0","0","25","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/BlackUnlitMaterial.BlackUnlitMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","0","33","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","0","21","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","0","33","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","33","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","33","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","24","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","5","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","21","21","1","248.891235","0","21"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","9","9","1","12.681993","0","9"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","9","9","1","11.656206","0","9"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","0","72","72","1","242.282272","0","72"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","0","21","21","1","250.672714","0","21"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","0","21","21","1","263.660706","0","21"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","0","21","21","1","255.269989","0","21"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","0","21","21","1","251.282669","0","21"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","0","21","21","1","283.261444","0","21"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","0","21","21","1","284.390289","0","21"
"/Game/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","0","21","21","1","251.373169","0","21"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","0","21","21","1","250.026947","0","21"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","0","21","21","1","258.993439","0","21"
"/Game/StarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","0","21","21","1","272.992188","0","21"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","7.189243","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","3.314494","0","5"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","17.019028","0","9"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","11.266484","0","9"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","6.984359","0","5"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","17","17","1","21.572914","0","17"
"/Game/TopDown/Blueprints/UI/M_heartMat.M_heartMat","0","13","13","1","16.119112","0","13"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","6.078835","0","2"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","11.961071","0","7"
"/Engine/EditorMeshes/ColorCalibrator/M_ColorGrid.M_ColorGrid","0","33","33","1","392.468719","0","33"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","10","1","20.636242","0","10"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","42","50","6","100.847382","0","50"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","100","100","1","1677.236816","0","100"
"/Landmass/Landscape/BlueprintBrushes/Materials/Sprite/M_BrushSprite_01.M_BrushSprite_01","0","15","17","1","39.998562","0","17"
"/Game/StarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","0","21","21","1","289.172394","0","21"
"/Game/StarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","0","21","21","1","273.119171","0","21"
"/Game/StarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","0","21","21","1","286.527374","0","21"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","87","87","1","627.456421","0","87"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","0","21","21","1","316.237946","0","21"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","0","21","21","1","311.247040","0","21"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","0","21","21","1","310.355072","0","21"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","0","21","21","1","333.392212","0","21"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","21","21","1","329.629456","0","21"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","0","21","21","1","316.117188","0","21"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","21","21","1","315.399445","0","21"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","21","21","1","321.369110","0","21"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","0","21","21","1","311.506836","0","21"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","21","21","1","323.818970","0","21"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","21","21","1","321.382568","0","21"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","21","21","1","313.689941","0","21"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","0","21","21","1","329.411255","0","21"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","0","21","21","1","336.411377","0","21"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","0","21","21","1","336.259613","0","21"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","0","21","21","1","197.610550","0","21"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","0","21","21","1","331.871643","0","21"
"/Game/1st_car_main/boxes_text.boxes_text","0","0","21","1","0.000000","0","0"
"/Game/Cursor/M_Cursor.M_Cursor","0","0","56","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","0","20","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","0","0","21","1","0.000000","0","0"
"/Game/Assets/Models/train/m_floor.m_floor","0","0","21","1","0.000000","0","0"
"/Game/1st_car_main/seat_text.seat_text","0","0","21","1","0.000000","0","0"
"/Game/1st_car_main/Counter_text.Counter_text","0","0","21","1","0.000000","0","0"
"/Game/Assets/Models/train/m_chair_table.m_chair_table","0","0","42","1","0.000000","0","0"
"/Game/Assets/Models/lava/m_cave.m_cave","0","0","12","1","0.000000","0","0"
"/Game/Assets/Models/jungle/standardSurface1.standardSurface1","0","0","25","1","0.000000","0","0"
"/Game/Assets/Models/pedestal/pedistal.pedistal","0","0","12","1","0.000000","0","0"
"/Game/Assets/Models/train/m_windows_luggage.m_windows_luggage","0","0","42","1","0.000000","0","0"
"/Game/Assets/Models/train/m_walls.m_walls","0","0","21","1","0.000000","0","0"
"/Game/MixedVFX/SceneAssets/Materials/M_SceneMaterialMaster.M_SceneMaterialMaster","0","0","42","2","0.000000","0","0"
"/Game/F_FreeFlameFx_Pack/Materials/M_Master_Distortion.M_Master_Distortion","0","0","28","1","0.000000","0","0"
"/Game/F_FreeFlameFx_Pack/Materials/M_Master_Flame.M_Master_Flame","0","0","6","1","0.000000","0","0"
"/Game/MixedVFX/Materials/M_WPO.M_WPO","0","0","22","1","0.000000","0","0"
"/Game/MixedVFX/Materials/M_Slash_Master.M_Slash_Master","0","0","15","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","0","12","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","0","12","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","0","0","4","2","0.000000","0","0"
"/Paper2D/DefaultLitSpriteMaterial.DefaultLitSpriteMaterial","0","0","29","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Engine/Engine_MI_Shaders/M_Shader_SimpleTranslucent.M_Shader_SimpleTranslucent","0","0","10","1","0.000000","0","0"
"/Game/MixedVFX/Materials/M_TrailMaster.M_TrailMaster","0","0","20","2","0.000000","0","0"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","0","21","21","1","314.748474","0","21"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","0","21","21","1","324.440491","0","21"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","0","21","21","1","324.170441","0","21"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","0","21","21","1","326.341064","0","21"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","0","21","21","1","353.016052","0","21"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","0","21","21","1","335.418579","0","21"
"/Game/Movies/Train_Video_Mat.Train_Video_Mat","0","0","13","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","0","21","21","1","335.935852","0","21"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","0","21","21","1","322.027527","0","21"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","9","9","1","15.788965","0","9"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","54","54","1","654.830750","0","54"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","210","244","6","2708.529785","0","220"
"/Interchange/gltf/M_Transmission.M_Transmission","0","40","76","2","837.658875","0","40"
"/Interchange/gltf/M_Sheen.M_Sheen","0","210","244","6","3366.545410","0","220"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","210","244","6","3425.298828","0","220"
"/Game/Characters/Mannequin_UE4/Materials/M_MannequinUE4_Body.M_MannequinUE4_Body","0","0","112","2","0.000000","0","0"
"/Game/MixedVFX/Materials/M_TranslucentUnlitMaster.M_TranslucentUnlitMaster","0","0","80","4","0.000000","0","160"
"/Game/MixedVFX/Materials/M_DissolverMaster.M_DissolverMaster","0","0","108","4","0.000000","0","0"
"/Game/MixedVFX/Materials/M_SimpleDissolver.M_SimpleDissolver","0","0","36","1","0.000000","0","0"
